"Occupation","Gender","TaxBracket","variable","value","unit"
"1419 Other Accommodation and Hospitality Managers","Female","d. $80,001 to $180,000","Number of individuals",142,NA
"1419 Other Accommodation and Hospitality Managers","Female","e. $180,000 or more","Number of individuals",8,NA
"1419 Other Accommodation and Hospitality Managers","Male","a. $18,200 or less","Number of individuals",56,NA
"1419 Other Accommodation and Hospitality Managers","Male","b. $18,201 to $37,000","Number of individuals",132,NA
"1419 Other Accommodation and Hospitality Managers","Male","c. $37,001 to $80,000","Number of individuals",370,NA
"1419 Other Accommodation and Hospitality Managers","Male","d. $80,001 to $180,000","Number of individuals",139,NA
"1419 Other Accommodation and Hospitality Managers","Male","e. $180,000 or more","Number of individuals",16,NA
"1421 Retail Managers","Female","a. $18,200 or less","Number of individuals",4663,NA
"1421 Retail Managers","Female","b. $18,201 to $37,000","Number of individuals",14261,NA
"1421 Retail Managers","Female","c. $37,001 to $80,000","Number of individuals",35102,NA
"1421 Retail Managers","Female","d. $80,001 to $180,000","Number of individuals",3575,NA
"1421 Retail Managers","Female","e. $180,000 or more","Number of individuals",258,NA
"1421 Retail Managers","Male","a. $18,200 or less","Number of individuals",2196,NA
"1421 Retail Managers","Male","b. $18,201 to $37,000","Number of individuals",7404,NA
"1421 Retail Managers","Male","c. $37,001 to $80,000","Number of individuals",30596,NA
"1421 Retail Managers","Male","d. $80,001 to $180,000","Number of individuals",8097,NA
"1421 Retail Managers","Male","e. $180,000 or more","Number of individuals",595,NA
"1491 Amusement, Fitness and Sports Centre Managers","Female","All","Number of individuals",2030,NA
"1491 Amusement, Fitness and Sports Centre Managers","Male","a. $18,200 or less","Number of individuals",179,NA
"1491 Amusement, Fitness and Sports Centre Managers","Male","b. $18,201 to $37,000","Number of individuals",475,NA
"1491 Amusement, Fitness and Sports Centre Managers","Male","c. $37,001 to $80,000","Number of individuals",1408,NA
"1491 Amusement, Fitness and Sports Centre Managers","Male","d. $80,001 to $180,000","Number of individuals",520,NA
"1491 Amusement, Fitness and Sports Centre Managers","Male","e. $180,000 or more","Number of individuals",33,NA
"1492 Call or Contact Centre and Customer Service Managers","Female","a. $18,200 or less","Number of individuals",5702,NA
"1492 Call or Contact Centre and Customer Service Managers","Female","b. $18,201 to $37,000","Number of individuals",14019,NA
"1492 Call or Contact Centre and Customer Service Managers","Female","c. $37,001 to $80,000","Number of individuals",36554,NA
"1492 Call or Contact Centre and Customer Service Managers","Female","d. $80,001 to $180,000","Number of individuals",6600,NA
"1492 Call or Contact Centre and Customer Service Managers","Female","e. $180,000 or more","Number of individuals",388,NA
"1492 Call or Contact Centre and Customer Service Managers","Male","a. $18,200 or less","Number of individuals",2734,NA
"1492 Call or Contact Centre and Customer Service Managers","Male","b. $18,201 to $37,000","Number of individuals",5416,NA
"1492 Call or Contact Centre and Customer Service Managers","Male","c. $37,001 to $80,000","Number of individuals",18178,NA
"1492 Call or Contact Centre and Customer Service Managers","Male","d. $80,001 to $180,000","Number of individuals",7467,NA
"1492 Call or Contact Centre and Customer Service Managers","Male","e. $180,000 or more","Number of individuals",622,NA
"1493 Conference and Event Organisers","Female","a. $18,200 or less","Number of individuals",1056,NA
"1493 Conference and Event Organisers","Female","b. $18,201 to $37,000","Number of individuals",2267,NA
"1493 Conference and Event Organisers","Female","c. $37,001 to $80,000","Number of individuals",6402,NA
"1493 Conference and Event Organisers","Female","d. $80,001 to $180,000","Number of individuals",1122,NA
"1493 Conference and Event Organisers","Female","e. $180,000 or more","Number of individuals",54,NA
"1493 Conference and Event Organisers","Male","a. $18,200 or less","Number of individuals",366,NA
"1493 Conference and Event Organisers","Male","b. $18,201 to $37,000","Number of individuals",532,NA
"1493 Conference and Event Organisers","Male","c. $37,001 to $80,000","Number of individuals",1565,NA
"1493 Conference and Event Organisers","Male","d. $80,001 to $180,000","Number of individuals",484,NA
"1493 Conference and Event Organisers","Male","e. $180,000 or more","Number of individuals",52,NA
"1494 Transport Services Managers","Female","a. $18,200 or less","Number of individuals",97,NA
"1494 Transport Services Managers","Female","b. $18,201 to $37,000","Number of individuals",324,NA
"1494 Transport Services Managers","Female","c. $37,001 to $80,000","Number of individuals",1211,NA
"1494 Transport Services Managers","Female","d. $80,001 to $180,000","Number of individuals",631,NA
"1494 Transport Services Managers","Female","e. $180,000 or more","Number of individuals",54,NA
"1494 Transport Services Managers","Male","a. $18,200 or less","Number of individuals",676,NA
"1494 Transport Services Managers","Male","b. $18,201 to $37,000","Number of individuals",2274,NA
"1494 Transport Services Managers","Male","c. $37,001 to $80,000","Number of individuals",8562,NA
"1494 Transport Services Managers","Male","d. $80,001 to $180,000","Number of individuals",6777,NA
"1494 Transport Services Managers","Male","e. $180,000 or more","Number of individuals",579,NA
"1499 Other Hospitality, Retail and Service Managers","Female","a. $18,200 or less","Number of individuals",402,NA
"1499 Other Hospitality, Retail and Service Managers","Female","b. $18,201 to $37,000","Number of individuals",1054,NA
"1499 Other Hospitality, Retail and Service Managers","Female","c. $37,001 to $80,000","Number of individuals",4382,NA
"1499 Other Hospitality, Retail and Service Managers","Female","d. $80,001 to $180,000","Number of individuals",5310,NA
"1499 Other Hospitality, Retail and Service Managers","Female","e. $180,000 or more","Number of individuals",812,NA
"1499 Other Hospitality, Retail and Service Managers","Male","a. $18,200 or less","Number of individuals",431,NA
"1499 Other Hospitality, Retail and Service Managers","Male","b. $18,201 to $37,000","Number of individuals",976,NA
"1499 Other Hospitality, Retail and Service Managers","Male","c. $37,001 to $80,000","Number of individuals",5590,NA
"1499 Other Hospitality, Retail and Service Managers","Male","d. $80,001 to $180,000","Number of individuals",10709,NA
"1499 Other Hospitality, Retail and Service Managers","Male","e. $180,000 or more","Number of individuals",2806,NA
"2111 Actors, Dancers and Other Entertainers","Female","a. $18,200 or less","Number of individuals",1933,NA
"2111 Actors, Dancers and Other Entertainers","Female","b. $18,201 to $37,000","Number of individuals",1883,NA
"2111 Actors, Dancers and Other Entertainers","Female","c. $37,001 to $80,000","Number of individuals",1282,NA
"2111 Actors, Dancers and Other Entertainers","Female","d. $80,001 to $180,000","Number of individuals",338,NA
"2111 Actors, Dancers and Other Entertainers","Female","e. $180,000 or more","Number of individuals",72,NA
"2111 Actors, Dancers and Other Entertainers","Male","a. $18,200 or less","Number of individuals",1801,NA
"2111 Actors, Dancers and Other Entertainers","Male","b. $18,201 to $37,000","Number of individuals",1740,NA
"2111 Actors, Dancers and Other Entertainers","Male","c. $37,001 to $80,000","Number of individuals",1587,NA
"2111 Actors, Dancers and Other Entertainers","Male","d. $80,001 to $180,000","Number of individuals",498,NA
"2111 Actors, Dancers and Other Entertainers","Male","e. $180,000 or more","Number of individuals",126,NA
"2112 Music Professionals","Female","All","Number of individuals",2031,NA
"2112 Music Professionals","Male","a. $18,200 or less","Number of individuals",604,NA
"2112 Music Professionals","Male","b. $18,201 to $37,000","Number of individuals",827,NA
"2112 Music Professionals","Male","c. $37,001 to $80,000","Number of individuals",1191,NA
"2112 Music Professionals","Male","d. $80,001 to $180,000","Number of individuals",670,NA
"2112 Music Professionals","Male","e. $180,000 or more","Number of individuals",82,NA
"2113 Photographers","Female","All","Number of individuals",2589,NA
"2113 Photographers","Male","All","Number of individuals",2890,NA
"2114 Visual Arts and Crafts Professionals","Female","All","Number of individuals",1222,NA
"2114 Visual Arts and Crafts Professionals","Male","a. $18,200 or less","Number of individuals",244,NA
"2114 Visual Arts and Crafts Professionals","Male","b. $18,201 to $37,000","Number of individuals",340,NA
"2114 Visual Arts and Crafts Professionals","Male","c. $37,001 to $80,000","Number of individuals",545,NA
"2114 Visual Arts and Crafts Professionals","Male","d. $80,001 to $180,000","Number of individuals",209,NA
"2114 Visual Arts and Crafts Professionals","Male","e. $180,000 or more","Number of individuals",11,NA
"2120 Media Professionals - type not specified","Female","All","Number of individuals",115,NA
"2120 Media Professionals - type not specified","Male","All","Number of individuals",42,NA
"2121 Artistic Directors, and Media Producers and Presenters","Female","a. $18,200 or less","Number of individuals",290,NA
"2121 Artistic Directors, and Media Producers and Presenters","Female","b. $18,201 to $37,000","Number of individuals",647,NA
"2121 Artistic Directors, and Media Producers and Presenters","Female","c. $37,001 to $80,000","Number of individuals",2143,NA
"2121 Artistic Directors, and Media Producers and Presenters","Female","d. $80,001 to $180,000","Number of individuals",1498,NA
"2121 Artistic Directors, and Media Producers and Presenters","Female","e. $180,000 or more","Number of individuals",165,NA
"2121 Artistic Directors, and Media Producers and Presenters","Male","a. $18,200 or less","Number of individuals",271,NA
"2121 Artistic Directors, and Media Producers and Presenters","Male","b. $18,201 to $37,000","Number of individuals",541,NA
"2121 Artistic Directors, and Media Producers and Presenters","Male","c. $37,001 to $80,000","Number of individuals",1915,NA
"2121 Artistic Directors, and Media Producers and Presenters","Male","d. $80,001 to $180,000","Number of individuals",1918,NA
"2121 Artistic Directors, and Media Producers and Presenters","Male","e. $180,000 or more","Number of individuals",376,NA
"2122 Authors, and Book and Script Editors","Female","a. $18,200 or less","Number of individuals",199,NA
"2122 Authors, and Book and Script Editors","Female","b. $18,201 to $37,000","Number of individuals",307,NA
"2122 Authors, and Book and Script Editors","Female","c. $37,001 to $80,000","Number of individuals",739,NA
"2122 Authors, and Book and Script Editors","Female","d. $80,001 to $180,000","Number of individuals",279,NA
"2122 Authors, and Book and Script Editors","Female","e. $180,000 or more","Number of individuals",31,NA
"2122 Authors, and Book and Script Editors","Male","a. $18,200 or less","Number of individuals",104,NA
"2122 Authors, and Book and Script Editors","Male","b. $18,201 to $37,000","Number of individuals",114,NA
"2122 Authors, and Book and Script Editors","Male","c. $37,001 to $80,000","Number of individuals",225,NA
"2122 Authors, and Book and Script Editors","Male","d. $80,001 to $180,000","Number of individuals",148,NA
"2122 Authors, and Book and Script Editors","Male","e. $180,000 or more","Number of individuals",27,NA
"2123 Film, Television, Radio and Stage Directors","Female","a. $18,200 or less","Number of individuals",285,NA
"2123 Film, Television, Radio and Stage Directors","Female","b. $18,201 to $37,000","Number of individuals",559,NA
"2123 Film, Television, Radio and Stage Directors","Female","c. $37,001 to $80,000","Number of individuals",1294,NA
"2123 Film, Television, Radio and Stage Directors","Female","d. $80,001 to $180,000","Number of individuals",677,NA
"2123 Film, Television, Radio and Stage Directors","Female","e. $180,000 or more","Number of individuals",90,NA
"2123 Film, Television, Radio and Stage Directors","Male","a. $18,200 or less","Number of individuals",420,NA
"2123 Film, Television, Radio and Stage Directors","Male","b. $18,201 to $37,000","Number of individuals",879,NA
"2123 Film, Television, Radio and Stage Directors","Male","c. $37,001 to $80,000","Number of individuals",2488,NA
"2123 Film, Television, Radio and Stage Directors","Male","d. $80,001 to $180,000","Number of individuals",1910,NA
"2123 Film, Television, Radio and Stage Directors","Male","e. $180,000 or more","Number of individuals",253,NA
